learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
1196.0,0.641183604,5.787150769329733E-8,1196.0,100.0,?,?,?,1196.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,120.87500000000007,343.038169777606,279.73333333333323,191.55110923975454
1248.0,0.658309752,5.942336871513889E-8,1248.0,100.0,?,?,?,1248.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,124.29166666666663,357.43047501267586,279.73333333333323,191.55110923975454
1300.0,0.67537246,6.09672211765415E-8,1300.0,100.0,?,?,?,1300.0,349752.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,127.35833333333318,371.77427858269886,275.5999999999999,187.9856243386265
1352.0,0.693390304,6.259988193605509E-8,1352.0,100.0,?,?,?,1352.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,123.62500000000003,370.5259278853426,279.73333333333323,191.55110923975454
1404.0,0.711191321,6.421289523194855E-8,1404.0,100.0,?,?,?,1404.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,128.79166666666663,385.10454535663655,279.73333333333323,191.55110923975454
1456.0,0.728159683,6.575045870461605E-8,1456.0,100.0,?,?,?,1456.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,135.1833333333334,400.11510913763817,279.73333333333323,191.55110923975454
1508.0,0.7455154,6.732312178789742E-8,1508.0,100.0,?,?,?,1508.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,141.04999999999995,414.89623791412487,279.73333333333323,191.55110923975454
1560.0,0.762312897,6.884520257680574E-8,1560.0,100.0,?,?,?,1560.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,145.69166666666652,429.92459365857763,279.73333333333323,191.55110923975454
1612.0,0.780122515,7.045899523981952E-8,1612.0,100.0,?,?,?,1612.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,149.4583333333333,443.800619474487,279.73333333333323,191.55110923975454
1664.0,0.797425757,7.202690337720638E-8,1664.0,100.0,?,?,?,1664.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,150.42500000000007,456.8701829575118,279.73333333333323,191.55110923975454
1716.0,0.816041775,7.371376680476177E-8,1716.0,100.0,?,?,?,1716.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,158.21666666666664,471.53752059972203,279.73333333333323,191.55110923975454
