learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
105.0,0.010039897,6.957100318413642E-10,105.0,100.0,?,?,?,105.0,282008.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
210.0,0.092310188,6.697794338470946E-9,210.0,100.0,?,?,?,210.0,282008.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
315.0,0.136905003,9.95123900257879E-9,315.0,100.0,?,?,?,315.0,282008.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
420.0,0.180353627,1.3121062532862028E-8,420.0,100.0,?,?,?,420.0,282008.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
525.0,0.215862276,1.5802966563631263E-8,525.0,100.0,?,?,?,525.0,291952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630.0,0.243491324,1.7889738583527505E-8,630.0,100.0,?,?,?,630.0,291952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
735.0,0.268773982,1.979929201088432E-8,735.0,100.0,?,?,?,735.0,291952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840.0,0.294214277,2.1720751475716632E-8,840.0,100.0,?,?,?,840.0,291952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
945.0,0.318686206,2.3569072008153632E-8,945.0,100.0,?,?,?,945.0,291952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050.0,0.342066046,2.539486058952494E-8,1050.0,100.0,?,?,?,1050.0,301864.0,800.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1155.0,0.360944442,2.6869120458343794E-8,1155.0,100.0,?,?,?,1155.0,301864.0,905.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1260.0,0.374402034,2.792005655569749E-8,1260.0,100.0,?,?,?,1260.0,301864.0,1010.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1365.0,0.387730872,2.8960937939973343E-8,1365.0,100.0,?,?,?,1365.0,301864.0,1115.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1470.0,0.401243691,3.00161868481069E-8,1470.0,100.0,?,?,?,1470.0,301864.0,1220.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1575.0,0.417608071,3.133615104944135E-8,1575.0,100.0,?,?,?,1575.0,311792.0,1075.0,500.0,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1680.0,0.431153567,3.2428741774499E-8,1680.0,100.0,?,?,?,1680.0,311792.0,1180.0,500.0,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1785.0,0.44440921,3.349795272081469E-8,1785.0,100.0,?,?,?,1785.0,311792.0,1285.0,500.0,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1890.0,0.457791668,3.457739266817975E-8,1890.0,100.0,?,?,?,1890.0,311792.0,1390.0,500.0,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1995.0,0.472183924,3.573828374357894E-8,1995.0,100.0,?,?,?,1995.0,311792.0,1495.0,500.0,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2100.0,0.489454321,3.7175613481588656E-8,2100.0,100.0,?,?,?,2100.0,321704.0,1350.0,645.4972243679028,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2205.0,0.506646162,3.8606405392187744E-8,2205.0,100.0,?,?,?,2205.0,321704.0,1455.0,645.4972243679028,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2310.0,0.524218523,4.006886610066724E-8,2310.0,100.0,?,?,?,2310.0,321704.0,1560.0,645.4972243679028,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2415.0,0.539268118,4.13213694703641E-8,2415.0,100.0,?,?,?,2415.0,321704.0,1665.0,645.4972243679028,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2520.0,0.556727914,4.281930535361791E-8,2520.0,100.0,?,?,?,2520.0,331632.0,1520.0,790.5694150420949,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2625.0,0.57175864,4.410884297632301E-8,2625.0,100.0,?,?,?,2625.0,331632.0,1625.0,790.5694150420949,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2730.0,0.586727734,4.539309297800684E-8,2730.0,100.0,?,?,?,2730.0,331632.0,1730.0,790.5694150420949,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
