learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
241.0,0.015276548,1.0575063888894187E-9,241.0,100.0,?,?,?,241.0,282008.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
482.0,0.100583195,7.281110085756E-9,482.0,100.0,?,?,?,482.0,282008.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
723.0,0.150271075,1.1033945786499728E-8,723.0,100.0,?,?,?,723.0,291952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
964.0,0.192493259,1.4222910972347275E-8,964.0,100.0,?,?,?,964.0,291952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1205.0,0.226336511,1.6865812850977398E-8,1205.0,100.0,?,?,?,1205.0,301864.0,955.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1446.0,0.255303983,1.9127953208173728E-8,1446.0,100.0,?,?,?,1446.0,301864.0,1196.0,353.5533905932738,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1687.0,0.286397524,2.1635983516240698E-8,1687.0,100.0,?,?,?,1687.0,311792.0,1187.0,500.0,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1928.0,0.312285331,2.3724115085603874E-8,1928.0,100.0,?,?,?,1928.0,311792.0,1428.0,500.0,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2169.0,0.338946619,2.5943002242398344E-8,2169.0,100.0,?,?,?,2169.0,321704.0,1419.0,645.4972243679028,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2410.0,0.360746424,2.7757292209751902E-8,2410.0,100.0,?,?,?,2410.0,321704.0,1660.0,645.4972243679028,1184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
