learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
12250.0,0.871435273,5.117826079259523E-8,12250.0,99.5,70.3369719981017,16.666666666666664,37.5,12250.0,227984.0,2.0
12500.0,0.883565642,5.189370539334706E-8,12500.0,99.6,74.79838709677435,33.33333333333333,50.0,12500.0,227984.0,2.0
12750.0,0.895805809,5.2615625838838104E-8,12750.0,99.8,85.6156501726121,66.66666666666666,75.0,12750.0,227984.0,2.0
13000.0,0.910314324,5.347133259612446E-8,13000.0,100.0,100.0,100.0,100.0,13000.0,227984.0,2.0
13250.0,0.927936472,5.4510680256550095E-8,13250.0,100.0,100.0,100.0,100.0,13250.0,227984.0,2.0
13500.0,0.945238174,5.553112813243228E-8,13500.0,99.2,55.17202734506335,-33.33333333333333,-14.285714285714285,13500.0,227984.0,2.0
13750.0,0.962691904,5.656054256256876E-8,13750.0,99.2,55.17202734506335,-33.33333333333333,-14.285714285714285,13750.0,227984.0,2.0
14000.0,0.978518102,5.7493965767545414E-8,14000.0,99.2,59.61227786752833,0.0,0.0,14000.0,227984.0,2.0
14250.0,0.99363775,5.8385716919292586E-8,14250.0,99.2,59.61227786752833,0.0,0.0,14250.0,227984.0,2.0
14500.0,1.009109278,5.929822182107923E-8,14500.0,100.0,100.0,100.0,100.0,14500.0,227984.0,2.0
14750.0,1.024630569,6.02136617258874E-8,14750.0,100.0,100.0,100.0,100.0,14750.0,227984.0,2.0
15000.0,1.040174783,6.113045362061303E-8,15000.0,98.5,34.19898227759229,-150.0,-150.0,15000.0,227984.0,2.0
15250.0,1.055589926,6.203963295630903E-8,15250.0,98.5,39.389041538710394,-87.5,-114.28571428571428,15250.0,227984.0,2.0
15500.0,1.070717878,6.293187387485263E-8,15500.0,98.5,39.389041538710394,-87.5,-114.28571428571428,15500.0,227984.0,2.0
15750.0,1.086242092,6.384748617710131E-8,15750.0,98.5,39.389041538710394,-87.5,-114.28571428571428,15750.0,227984.0,2.0
16000.0,1.101677569,6.475786480446863E-8,16000.0,100.0,100.0,100.0,100.0,16000.0,227984.0,2.0
16250.0,1.117278009,6.56779728875247E-8,16250.0,100.0,100.0,100.0,100.0,16250.0,227984.0,2.0
16500.0,1.132565042,6.657959634360959E-8,16500.0,100.0,100.0,100.0,100.0,16500.0,227984.0,2.0
16750.0,1.147785184,6.74772745936757E-8,16750.0,99.2,63.24542865018825,0.0,11.11111111111111,16750.0,227984.0,2.0
17000.0,1.160436333,6.822343460293485E-8,17000.0,98.7,47.42801682303451,-116.66666666666667,-62.5,17000.0,227984.0,2.0
17250.0,1.171119755,6.885353881389935E-8,17250.0,98.7,47.42801682303451,-116.66666666666667,-62.5,17250.0,227984.0,2.0
17500.0,1.181620334,6.947285901350071E-8,17500.0,98.7,47.42801682303451,-116.66666666666667,-62.5,17500.0,227984.0,2.0
17750.0,1.192126918,7.009253338574327E-8,17750.0,99.5,0.0,-Infinity,-Infinity,17750.0,227984.0,2.0
18000.0,1.202569009,7.070840398510503E-8,18000.0,100.0,?,?,?,18000.0,227984.0,2.0
18250.0,1.213111503,7.133019631563995E-8,18250.0,99.5,70.3369719981017,16.666666666666664,37.5,18250.0,227984.0,2.0
18500.0,1.223618568,7.194989905708157E-8,18500.0,99.5,70.3369719981017,16.666666666666664,37.5,18500.0,227984.0,2.0
18750.0,1.234186805,7.257320970007321E-8,18750.0,99.5,70.3369719981017,16.666666666666664,37.5,18750.0,227984.0,2.0
19000.0,1.244888592,7.320439707182967E-8,19000.0,99.5,70.3369719981017,16.666666666666664,37.5,19000.0,227984.0,2.0
19250.0,1.255469556,7.382845834849401E-8,19250.0,100.0,?,?,?,19250.0,227984.0,2.0
19500.0,1.265977074,7.444818780770524E-8,19500.0,100.0,?,?,?,19500.0,227984.0,2.0
19750.0,1.276283106,7.505603369842593E-8,19750.0,100.0,?,?,?,19750.0,227984.0,2.0
20000.0,1.286629406,7.566625458063971E-8,20000.0,99.4,62.20234345470564,-50.0,14.285714285714285,20000.0,227984.0,2.0
20250.0,1.297169949,7.62879318419285E-8,20250.0,99.4,62.20234345470564,-50.0,14.285714285714285,20250.0,227984.0,2.0
20500.0,1.307483807,7.689623930718541E-8,20500.0,99.4,66.36771300448441,0.0,25.0,20500.0,227984.0,2.0
20750.0,1.317868761,7.75087399877794E-8,20750.0,99.4,66.36771300448441,0.0,25.0,20750.0,227984.0,2.0
21000.0,1.328306368,7.812434612250782E-8,21000.0,100.0,100.0,100.0,100.0,21000.0,227984.0,2.0
21250.0,1.338767946,7.87413660577995E-8,21250.0,100.0,100.0,100.0,100.0,21250.0,227984.0,2.0
21500.0,1.350857825,7.945677457416015E-8,21500.0,99.4,66.37902050879751,-50.0,14.285714285714285,21500.0,228736.0,3.0
21750.0,1.361376219,8.007940946431416E-8,21750.0,98.9,55.48721269019088,-37.5,-22.22222222222222,21750.0,228816.0,3.0
22000.0,1.371849961,8.069940118545252E-8,22000.0,98.8,56.5626583653079,0.0,-9.090909090909092,22000.0,228816.0,3.0
22250.0,1.38222137,8.131333531869161E-8,22250.0,98.8,56.5626583653079,0.0,-9.090909090909092,22250.0,228816.0,3.0
22500.0,1.39276658,8.19375575782876E-8,22500.0,99.4,39.710610932475596,25.0,-50.0,22500.0,228816.0,3.0
22750.0,1.403449878,8.256995393810379E-8,22750.0,99.9,66.62216288384631,75.0,50.0,22750.0,228816.0,3.0
23000.0,1.414296995,8.321204754115599E-8,23000.0,100.0,?,?,?,23000.0,228816.0,3.0
23250.0,1.425164246,8.385533297357666E-8,23250.0,99.0,49.540821475426625,-150.0,-42.857142857142854,23250.0,228816.0,3.0
23500.0,1.436094831,8.45023674534406E-8,23500.0,99.0,49.540821475426625,-150.0,-42.857142857142854,23500.0,228816.0,3.0
23750.0,1.446748829,8.513302940377551E-8,23750.0,99.0,49.540821475426625,-150.0,-42.857142857142854,23750.0,228816.0,3.0
