learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
409266.0,30.973761419,3.6004759094540857E-6,409266.0,99.8,74.90589711417825,66.66666666666666,33.33333333333333,409266.0,563472.0,14.0
413127.0,31.418035367,3.6676893056829357E-6,413127.0,100.0,100.0,100.0,100.0,413127.0,584800.0,15.0
416988.0,31.875336743,3.7368735977609536E-6,416988.0,99.8,74.90589711417825,66.66666666666666,33.33333333333333,416988.0,584800.0,15.0
420849.0,32.33731866,3.8067660003600017E-6,420849.0,99.9,85.66513761467886,83.33333333333334,66.66666666666666,420849.0,584800.0,15.0
424710.0,32.797942893,3.876453001420075E-6,424710.0,100.0,100.0,100.0,100.0,424710.0,584800.0,15.0
428571.0,33.260469992,3.946427883610709E-6,428571.0,100.0,100.0,100.0,100.0,428571.0,584800.0,15.0
432432.0,33.727671322,4.017109921693967E-6,432432.0,99.9,0.0,-Infinity,-Infinity,432432.0,584800.0,15.0
436293.0,34.197050321,4.088121415353028E-6,436293.0,99.8,66.57754010695179,50.0,0.0,436293.0,584800.0,15.0
440154.0,34.664192612,4.158794521533532E-6,440154.0,99.7,0.0,-Infinity,-Infinity,440154.0,584800.0,15.0
444015.0,35.175563534,4.238980420995363E-6,444015.0,99.9,85.66513761467886,83.33333333333334,66.66666666666666,444015.0,606128.0,16.0
447876.0,35.693348459,4.320172072989415E-6,447876.0,99.9,79.95188452285525,75.0,50.0,447876.0,606128.0,16.0
451737.0,36.21178152,4.40146535643316E-6,451737.0,99.9,88.83928571428567,87.5,75.0,451737.0,606128.0,16.0
455598.0,36.728918504,4.48255540755464E-6,455598.0,100.0,100.0,100.0,100.0,455598.0,606128.0,16.0
459459.0,37.267153271,4.569923459687366E-6,459459.0,100.0,100.0,100.0,100.0,459459.0,627456.0,17.0
463320.0,37.810722261,4.658157380585406E-6,463320.0,99.8,49.924887330997116,0.0,-100.0,463320.0,627456.0,17.0
467181.0,38.356849112,4.749424200926233E-6,467181.0,99.7,79.8549556809025,75.0,50.0,467181.0,645984.0,18.0
471042.0,38.93579299,4.846594653654364E-6,471042.0,99.8,0.0,-Infinity,-Infinity,471042.0,648784.0,18.0
474903.0,39.512937987,4.94346318060382E-6,474903.0,99.9,79.95188452285525,75.0,50.0,474903.0,648784.0,18.0
478764.0,40.130103257,5.047048745583193E-6,478764.0,99.9,90.85923217550278,90.0,80.0,478764.0,648784.0,18.0
482625.0,40.798882879,5.1592973090701845E-6,482625.0,99.8,66.57754010695179,50.0,0.0,482625.0,648784.0,18.0
486486.0,41.463499414,5.2708471363516325E-6,486486.0,99.7,72.58771929824547,62.5,25.0,486486.0,648784.0,18.0
490347.0,42.138484176,5.384137176026479E-6,490347.0,99.9,79.95188452285525,75.0,50.0,490347.0,648784.0,18.0
494208.0,42.80532077,5.4960596199747765E-6,494208.0,99.9,66.62216288384631,50.0,0.0,494208.0,648784.0,18.0
498069.0,43.46773921,5.607240517046569E-6,498069.0,99.9,79.95188452285525,75.0,50.0,498069.0,648784.0,18.0
501930.0,44.125499598,5.717639602549276E-6,501930.0,99.7,39.903846153846054,-50.0,-200.0,501930.0,648784.0,18.0
505791.0,44.78526754,5.82837563769161E-6,505791.0,100.0,100.0,100.0,100.0,505791.0,648784.0,18.0
509652.0,45.449268282,5.939822109731089E-6,509652.0,99.9,79.95188452285525,75.0,50.0,509652.0,648784.0,18.0
513513.0,46.113743288,6.0513481826599535E-6,513513.0,99.9,0.0,-Infinity,-Infinity,513513.0,648784.0,18.0
517374.0,46.780961943,6.163334752064535E-6,517374.0,100.0,100.0,100.0,100.0,517374.0,648784.0,18.0
521235.0,47.44698211,6.275120166182785E-6,521235.0,99.8,83.2355406538139,80.0,60.0,521235.0,648784.0,18.0
525096.0,48.117381349,6.38764056762008E-6,525096.0,99.6,66.48793565683629,50.0,0.0,525096.0,648784.0,18.0
528957.0,48.775959792,6.4981769561977955E-6,528957.0,100.0,100.0,100.0,100.0,528957.0,648784.0,18.0
532818.0,49.443210776,6.613850554976905E-6,532818.0,99.7,66.53279785809934,50.0,0.0,532818.0,670112.0,19.0
536679.0,50.139409856,6.7345425509145305E-6,536679.0,100.0,100.0,100.0,100.0,536679.0,670112.0,19.0
540540.0,50.843712607,6.856639386725561E-6,540540.0,99.7,79.8549556809025,75.0,50.0,540540.0,670112.0,19.0
544401.0,51.546375966,6.978452020074554E-6,544401.0,99.6,71.24370956146673,60.0,20.0,544401.0,670112.0,19.0
548262.0,52.244249565,7.099434308036619E-6,548262.0,100.0,100.0,100.0,100.0,548262.0,670112.0,19.0
552123.0,52.940544008,7.220142835956459E-6,552123.0,100.0,?,?,?,552123.0,670112.0,19.0
