learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
77162.0,1.41478404,4.4207918383851645E-7,77162.0,99.5,98.99987998559827,99.01574803149606,98.98989898989899,99.50003901680074,99.50544015825915,99.49443882709808,99.4989498949895,99.60396039603961,99.39393939393939,99.5011281624554,99.40711462450594,99.59514170040485,77162.0,1228664.0,10.0,0.0,462904.5,405.68138839351394,81202.4,4944.509215056413,96.2,6.811754546370562,48.6,3.405877273185281,48.6,3.405877273185281,12.0,0.9428090415820634,0.0,0.0,0.0,0.0,1.0,0.0
154324.0,2.583986824,1.0071071212813093E-6,154324.0,98.9,97.7963154394147,97.85992217898833,97.69392033542977,98.89904087767407,98.9433237271854,98.85297184567257,98.88699281762867,99.22928709055877,98.54469854469855,98.9110918738678,98.65900383141762,99.16317991631799,154324.0,1868024.0,10.0,0.0,925749.4,861.9523317575079,144089.6,9267.084345502992,169.6,11.432896007185194,85.3,5.716448003592597,85.3,5.716448003592597,14.9,0.7378647873726217,0.0,0.0,0.0,0.0,1.0,0.0
231486.0,3.692396376,1.675251336024586E-6,231486.0,99.5,98.99938362031011,98.98167006109979,98.97330595482546,99.50058393024351,99.51219512195121,99.48717948717947,99.50801428319802,99.22178988326849,99.79423868312757,99.49315468686844,99.80430528375733,99.18200408997954,231486.0,2330088.0,10.0,0.0,1388368.4,995.2486233209603,189488.8,11517.859338146716,223.4,13.721030087667131,112.2,6.860515043833566,112.2,6.860515043833566,15.1,0.8755950357709131,473.89697672172326,763.0577984695017,0.0,0.0,1.0243432119372569,0.039196872532509475
308648.0,4.791274055,2.4235274912594966E-6,308648.0,99.3,98.59294219806549,98.559670781893,98.60557768924303,99.29896111425056,99.2465016146394,99.34640522875814,99.33415407393102,99.78354978354979,98.88475836431226,99.2637930826681,98.7152034261242,99.812382739212,308648.0,2632176.0,10.0,1.0,1709481.0,447794.9467500598,219310.40000000002,50836.888625835025,259.0,60.64102022008974,129.99999999999997,30.320510110044875,129.99999999999997,30.320510110044875,15.399999999999999,1.7763883459298973,315.7165845648605,665.6012332823697,0.0,0.0,1.0162412682641113,0.03424022317009225
385810.0,5.931272586,3.370671022519542E-6,385810.0,99.6,99.19945883417189,99.21104536489152,99.1769547325103,99.59972941708595,99.58932238193019,99.61013645224172,99.59972941708595,99.58932238193019,99.61013645224172,99.59972941708595,99.58932238193019,99.61013645224172,385810.0,3211544.0,10.0,1.0,2172600.8000000003,447883.609892074,276271.2,49029.51077962015,327.0,57.6040122059412,164.0,28.8020061029706,164.0,28.8020061029706,16.599999999999998,1.264911064067352,626.3655647556163,808.6920621754949,0.0,0.0,1.0327374739796529,0.04226672383538374
462972.0,7.100973746,4.4881288953131995E-6,462972.0,99.4,98.8,98.81889763779527,98.8118811881188,99.400395204752,99.39879759519037,99.40119760479043,99.4,99.2,99.6,99.4007904126466,99.59839357429718,99.20318725099602,462972.0,3692824.0,10.0,1.0,2635633.9,447887.4736365647,323709.6,48140.02702118062,384.00000000000006,56.35798277282661,192.50000000000003,28.178991386413305,192.50000000000003,28.178991386413305,16.8,0.9189365834726814,780.7391911292426,823.0545193410858,0.0,0.0,1.0410404352552793,0.04326462354536759
540134.0,8.27615353,5.7442732496024565E-6,540134.0,99.4,98.79976955575471,98.82583170254404,98.78542510121457,99.40028013396937,99.39148073022312,99.40828402366864,99.39751324190684,99.19028340080972,99.60474308300395,99.4030471800781,99.59349593495935,99.21259842519686,540134.0,4131784.0,10.0,1.0,3098810.7,447914.6344090455,367019.2,48348.52450190296,435.19999999999993,58.17559625822499,218.09999999999997,29.087798129112496,218.09999999999997,29.087798129112496,17.5,1.4337208778404378,1088.7939654806864,751.4784384569772,0.0,0.0,1.057670080127895,0.03980301641466689
617296.0,9.471693409,7.167703672482777E-6,617296.0,99.5,99.000007999936,98.96265560165975,98.98373983739837,99.50089500984559,99.5004995004995,99.4994994994995,99.5011920190723,99.20318725099602,99.79919678714859,99.50059800239201,99.79959919839679,99.20159680638723,617296.0,4602296.0,10.0,1.0,3561634.5,447909.1619266493,413411.2,45489.97958720629,491.6,53.46691604264371,246.3,26.733458021321855,246.3,26.733458021321855,17.900000000000002,1.3703203194062972,1088.7939654806864,751.4784384569772,0.0,0.0,1.057670080127895,0.03980301641466689
694458.0,10.659459645,8.708552567804581E-6,694458.0,99.6,99.19917996027932,99.18200408997954,99.21875,99.59958998013967,99.58677685950413,99.6124031007752,99.59958998013967,99.58677685950413,99.6124031007752,99.59958998013967,99.58677685950413,99.6124031007752,694458.0,5014544.0,10.0,1.0,4024479.1,447940.01784873183,454034.4,42280.11261206489,539.6000000000001,52.55304198828284,270.30000000000007,26.27652099414142,270.30000000000007,26.27652099414142,18.2,1.2292725943057181,1240.8692268047282,654.2447481410347,0.0,0.0,1.0660906311112701,0.03484530119835479
771620.0,11.885886227,1.0441171637305064E-5,771620.0,99.4,98.79996159877116,98.83495145631068,98.80239520958084,99.40037602935489,99.40357852882704,99.3963782696177,99.39919038704619,99.60159362549801,99.19678714859438,99.4015616999488,99.20634920634922,99.59677419354838,771620.0,5460896.0,10.0,1.0,4487262.699999999,447601.7669263234,498055.2,42144.299914566014,589.5999999999999,48.90853140756166,295.29999999999995,24.45426570378083,295.29999999999995,24.45426570378083,18.5,1.509230856356236,1240.8692268047282,654.2447481410347,0.0,0.0,1.0660906311112701,0.03484530119835479
