learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
644.0,0.635873091,5.638395101063988E-8,644.0,100.0,?,?,?,644.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,70.17499999999998,189.24718896039582,279.73333333333323,191.55110923975454
672.0,0.652182028,5.786176164487997E-8,672.0,100.0,?,?,?,672.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,68.19166666666668,190.99783516892467,279.73333333333323,191.55110923975454
700.0,0.669122243,5.939677461803166E-8,700.0,100.0,?,?,?,700.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,71.63333333333331,199.31533789843823,279.73333333333323,191.55110923975454
728.0,0.685397683,6.087154997027789E-8,728.0,100.0,?,?,?,728.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,74.55000000000004,207.36315118792984,279.73333333333323,191.55110923975454
756.0,0.701532846,6.233361432594971E-8,756.0,100.0,?,?,?,756.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,75.7166666666667,214.9393576127471,279.73333333333323,191.55110923975454
784.0,0.717254352,6.375819575348662E-8,784.0,100.0,?,?,?,784.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,79.5083333333334,223.28762006548817,279.73333333333323,191.55110923975454
812.0,0.733962154,6.527214896026999E-8,812.0,100.0,?,?,?,812.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,82.24999999999994,231.24490455435543,279.73333333333323,191.55110923975454
840.0,0.749531167,6.668291245613868E-8,840.0,100.0,?,?,?,840.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,85.51666666666665,239.75460084730597,279.73333333333323,191.55110923975454
868.0,0.763866428,6.798188130680057E-8,868.0,100.0,?,?,?,868.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,88.78333333333332,248.11166445617923,279.73333333333323,191.55110923975454
896.0,0.77846796,6.930497791731522E-8,896.0,100.0,?,?,?,896.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,93.10000000000007,256.59287964078993,279.73333333333323,191.55110923975454
924.0,0.794317191,7.074113296018084E-8,924.0,100.0,?,?,?,924.0,350264.0,20.0,20.0,20.0,0.0,100.0,100.0,1.0,1.0,0.8,0.7,94.61666666666665,264.7015818822781,279.73333333333323,191.55110923975454
