learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
38622.0,0.489525305,5.350005871126842E-8,38622.0,18.4,-0.1551422792168245,-40699.99999999996,-40699.99999999996,40.525696186859484,0.24449877750611246,30.96446700507614,49.789535379369134,0.12254901960784313,99.45652173913044,34.168336673346694,50.0,18.336673346693384,38622.0,440400.0,18322.0,14291.02282320385,1260.0,270.64367718459636,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
77244.0,0.808147291,8.96640737382633E-8,77244.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,77244.0,438736.0,10994.0,2226.731535981231,1099.1999999999998,192.26648173823745,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115866.0,1.061456582,1.1858329623271194E-7,115866.0,17.2,0.0,-Infinity,-Infinity,?,?,29.351535836177472,50.0,0.0,100.0,?,?,17.2,115866.0,441304.0,21216.0,10672.003873062766,1347.2,253.52133375056755,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
154488.0,1.298294015,1.4532594147619894E-7,154488.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,154488.0,436472.0,11938.0,1739.2527130926085,880.0,134.92384683385083,1.9999999999999998,1.0540925533894598,1.5,0.5270462766947299,1.5,0.5270462766947299,0.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
193110.0,1.5212107,1.7077537203514328E-7,193110.0,58.099999999999994,0.2760853008377879,-20849.99999999998,-41799.99999999996,61.338268009769706,0.4750593824228029,73.46421785940468,50.11904761904762,0.2380952380952381,100.0,79.02902902902903,100.0,58.05805805805806,193110.0,441304.0,20060.0,10177.453294196714,1347.2000000000003,253.5213337505675,2.8,0.6324555320336759,1.9,0.31622776601683794,1.9,0.31622776601683794,0.8999999999999999,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
231732.0,1.724693769,1.9371009679350175E-7,231732.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,231732.0,435680.0,4532.0,2840.1877872187724,803.2000000000002,107.93907746708068,1.4,0.8432740427115678,1.2000000000000002,0.42163702135578396,1.2000000000000002,0.42163702135578396,0.19999999999999998,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
270354.0,1.908885344,2.147979174091729E-7,270354.0,5.6000000000000005,0.02287612156540462,-23499.999999999978,-47099.999999999956,51.372691233073155,0.42194092827004215,10.26615969581749,50.10570824524313,0.21141649048625794,100.0,52.705410821643284,100.0,5.410821643286573,270354.0,442552.0,21454.0,5994.441870043727,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308976.0,2.117564652,2.383183140459305E-7,308976.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,308976.0,435680.0,7326.0,1700.4901254246279,803.2000000000002,107.9390774670807,1.4,0.8432740427115678,1.2000000000000002,0.42163702135578396,1.2000000000000002,0.42163702135578396,0.19999999999999998,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
347598.0,2.33337626,2.6270155453694987E-7,347598.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,347598.0,436736.0,21648.0,1832.5756009871277,905.5999999999999,132.19783155054648,2.2,1.0327955589886444,1.6,0.5163977794943222,1.6,0.5163977794943222,0.6000000000000001,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
386220.0,2.540836697,2.861949171924591E-7,386220.0,0.0,0.0,-Infinity,-Infinity,?,?,?,?,0.0,?,?,?,0.0,386220.0,437736.0,7970.0,1903.9432764659773,1002.4,193.99152329705316,2.5999999999999996,0.8432740427115679,1.7999999999999998,0.42163702135578396,1.7999999999999998,0.42163702135578396,0.8,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
