learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
42482.0,0.937557576,9.197586076905123E-8,42482.0,100.0,?,?,?,42482.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,2871.008333333333,9520.279469889736,248.33333333333337,120.09361427851279
46344.0,0.990826511,9.723832866187104E-8,46344.0,100.0,?,?,?,46344.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,3198.6250000000023,10590.461966152028,248.33333333333337,120.09361427851279
50206.0,1.041467278,1.0224115836750095E-7,50206.0,100.0,?,?,?,50206.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,3523.7916666666665,11661.444812178846,248.33333333333337,120.09361427851279
54068.0,1.090849205,1.0711962656520514E-7,54068.0,100.0,?,?,?,54068.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,3842.4833333333313,12734.211120319265,248.33333333333337,120.09361427851279
57930.0,1.149094372,1.128736992015255E-7,57930.0,100.0,?,?,?,57930.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,4162.750000000002,13806.39374247558,248.33333333333337,120.09361427851279
61792.0,1.218798353,1.1975979448415546E-7,61792.0,100.0,?,?,?,61792.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,4486.516666666665,14877.73449534591,248.33333333333337,120.09361427851279
65654.0,1.282466568,1.260496130666116E-7,65654.0,100.0,?,?,?,65654.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,4807.133333333331,15949.873570760652,248.33333333333337,120.09361427851279
69516.0,1.330920438,1.3083639799403438E-7,69516.0,100.0,?,?,?,69516.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,5127.749999999997,17022.092038946124,248.33333333333337,120.09361427851279
73378.0,1.379613533,1.3564681609305447E-7,73378.0,100.0,?,?,?,73378.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,5450.291666666666,18093.731699496795,248.33333333333337,120.09361427851279
77240.0,1.429633235,1.405882904398462E-7,77240.0,100.0,?,?,?,77240.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,5768.983333333335,19166.511611252005,248.33333333333337,120.09361427851279
81102.0,1.478804871,1.4544598387200177E-7,81102.0,100.0,?,?,?,81102.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,6102.900000000004,20234.948690177538,248.33333333333337,120.09361427851279
84964.0,1.527636477,1.5026634624987632E-7,84964.0,100.0,?,?,?,84964.0,381576.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,6414.2416666666695,21309.776936710692,246.0,118.41984843851851
88826.0,1.576688481,1.5511323635289857E-7,88826.0,100.0,100.0,100.0,100.0,88826.0,381952.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,6735.908333333329,22381.67722742277,248.9999999999999,121.44812497039023
92688.0,1.625506656,1.599360111751014E-7,92688.0,100.0,?,?,?,92688.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,7058.975000000009,23453.20726430744,248.33333333333337,120.09361427851279
96550.0,1.67485489,1.6481319345023273E-7,96550.0,100.0,100.0,100.0,100.0,96550.0,382032.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,7380.991666666669,24524.986612866374,249.66666666666683,122.78404443830416
100412.0,1.723661165,1.6963479266477746E-7,100412.0,100.0,?,?,?,100412.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,7707.908333333335,25595.448700923578,248.33333333333337,120.09361427851279
104274.0,1.773849776,1.7459295362618437E-7,104274.0,100.0,?,?,?,104274.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,8023.800000000001,26669.004010919747,248.33333333333337,120.09361427851279
108136.0,1.823760209,1.7952363322732967E-7,108136.0,100.0,?,?,?,108136.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,8346.516666666663,27740.60483517922,248.33333333333337,120.09361427851279
111998.0,1.873675069,1.8445475017428189E-7,111998.0,100.0,?,?,?,111998.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,8667.308333333334,28812.784643351137,248.33333333333337,120.09361427851279
115860.0,1.923489074,1.8937590359935533E-7,115860.0,100.0,?,?,?,115860.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,8996.149999999992,29882.654558112736,248.33333333333337,120.09361427851279
119722.0,1.970585179,1.940285541627535E-7,119722.0,100.0,?,?,?,119722.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,9315.016666666665,30955.343609782783,248.33333333333337,120.09361427851279
123584.0,2.016405583,1.9855517751060215E-7,123584.0,100.0,?,?,?,123584.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,9631.958333333338,32028.63440142427,248.33333333333337,120.09361427851279
127446.0,2.062917662,2.0315157574366775E-7,127446.0,100.0,100.0,100.0,100.0,127446.0,381992.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,9961.675000000001,33098.238803118766,249.33333333333331,122.11837027467823
131308.0,2.10874649,2.0767903130318967E-7,131308.0,100.0,?,?,?,131308.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,10287.366666666672,34168.97469459028,248.33333333333337,120.09361427851279
135170.0,2.154357835,2.1218500159545902E-7,135170.0,100.0,?,?,?,135170.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,10598.708333333334,35243.876018346346,248.33333333333337,120.09361427851279
139032.0,2.199113247,2.1660641378776064E-7,139032.0,100.0,?,?,?,139032.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,10917.924999999997,36316.52803185411,248.33333333333337,120.09361427851279
142894.0,2.244074532,2.2104909481024573E-7,142894.0,100.0,100.0,100.0,100.0,142894.0,381952.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,11248.516666666663,37385.85449002469,248.9999999999999,121.44812497039023
146756.0,2.288547405,2.2544259481665572E-7,146756.0,100.0,?,?,?,146756.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,11582.958333333328,38454.24765260219,248.33333333333337,120.09361427851279
150618.0,2.332997292,2.2983382402326497E-7,150618.0,100.0,?,?,?,150618.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,11895.175000000001,39528.72584104092,248.33333333333337,120.09361427851279
154480.0,2.377192288,2.341998724053717E-7,154480.0,100.0,?,?,?,154480.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,12218.766666666665,40600.06894760327,248.33333333333337,120.09361427851279
158342.0,2.420768794,2.38504819814331E-7,158342.0,100.0,?,?,?,158342.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,12526.25833333334,41676.14176171766,248.33333333333337,120.09361427851279
162204.0,2.464363612,2.428115762760159E-7,162204.0,100.0,?,?,?,162204.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,12852.12500000001,42746.82323378993,248.33333333333337,120.09361427851279
166066.0,2.50823162,2.471424160672807E-7,166066.0,100.0,100.0,100.0,100.0,166066.0,381616.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,13172.21666666668,43819.210174369895,246.3333333333332,119.11560187752167
169928.0,2.55220837,2.51486903804938E-7,169928.0,100.0,?,?,?,169928.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,13495.633333333333,44890.599976883736,248.33333333333337,120.09361427851279
173790.0,2.595957219,2.558088770752938E-7,173790.0,100.0,?,?,?,173790.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,13824.825000000006,45960.34606938743,248.33333333333337,120.09361427851279
177652.0,2.640529791,2.6021222640169574E-7,177652.0,100.0,?,?,?,177652.0,381872.0,20.0,20.0,20.0,0.0,100.0,100.0,2.0,1.0,0.8,0.7,14137.566666666677,47034.864823914635,248.33333333333337,120.09361427851279
