learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
540708.0,10.774992658,1.1743297514582981E-6,540708.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,540708.0,425424.0,10.0,1.0,3239232.1,15303.016016821994,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,417.2,287.8953513576302,0.0,0.0,1.1597315436241609,0.1102252369956243
579330.0,11.517312967,1.2560276637076024E-6,579330.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,579330.0,425424.0,10.0,1.0,3471053.6,15102.11693917261,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,417.2,287.8953513576302,0.0,0.0,1.1597315436241609,0.1102252369956243
617952.0,12.24528846,1.3361468214696704E-6,617952.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,617952.0,425424.0,10.0,1.0,3702535.5,15049.914745051996,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,417.2,287.8953513576302,0.0,0.0,1.1597315436241609,0.1102252369956243
656574.0,12.97529442,1.416489447339481E-6,656574.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,656574.0,425424.0,10.0,1.0,3934131.8,15050.480588856826,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,417.2,287.8953513576302,0.0,0.0,1.1597315436241609,0.1102252369956243
695196.0,13.723343916,1.4990485765072264E-6,695196.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,695196.0,426616.0,10.0,1.0,4165876.1,15057.85231439802,1416.8,149.25950555994748,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,476.8,251.2956647280472,0.0,0.0,1.1825503355704696,0.09621247467178957
733818.0,14.481119144,1.5827767605459251E-6,733818.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,733818.0,427104.0,10.0,1.0,4397488.8,14969.68639024285,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,476.8,251.2956647280472,0.0,0.0,1.1825503355704696,0.09621247467178957
772440.0,15.239634087,1.6663951583783345E-6,772440.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,772440.0,426128.0,10.0,1.0,4629151.9,15102.188240634361,1369.6,199.01267407993004,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,476.8,251.2956647280472,0.0,0.0,1.1825503355704696,0.09621247467178957
811062.0,16.001213003,1.7505436199308949E-6,811062.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,811062.0,427104.0,10.0,1.0,4860719.5,15345.50897928559,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,476.8,251.2956647280472,0.0,0.0,1.1825503355704696,0.09621247467178957
849684.0,16.883020723,1.847976415750535E-6,849684.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,849684.0,427104.0,10.0,1.0,5092372.2,15015.382562928953,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,536.4000000000001,188.47174854603543,0.0,0.0,1.2053691275167784,0.07215935600384217
888306.0,17.830695197,1.9526869682151096E-6,888306.0,100.0,?,?,?,?,?,100.0,?,?,100.0,?,?,100.0,888306.0,427104.0,10.0,1.0,5323929.8,15198.511153691612,1464.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,536.4000000000001,188.47174854603543,0.0,0.0,1.2053691275167784,0.07215935600384217
