learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),size ,maturity ,evalsize ,cmb ,tau,MaxSnapshotsSize,SnapshotsSize,stabilityIndex,stabilityThreshold,differenceThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
770440.0,406.503087955,3.2588631767190864E-4,770440.0,96.5,0.0,-Infinity,-Infinity,770440.0,3155832.0,20.0,20.0,20.0,0.0,100.0,100.0,668.0,0.5530832328106152,0.8,0.7,13382.82500000001,54089.74220645459,20225.333333333332,657.7769197763599
808962.0,428.301402102,3.437685264531711E-4,808962.0,94.19999999999999,0.0,-Infinity,-Infinity,808962.0,3171032.0,20.0,20.0,20.0,0.0,100.0,100.0,710.0,0.742,0.8,0.7,7112.55,46323.02690031776,20352.000000000004,871.4882470268212
847484.0,450.842128616,3.6222431760109806E-4,847484.0,100.0,?,?,?,847484.0,3164952.0,20.0,20.0,20.0,0.0,100.0,100.0,746.0,1.0,0.8,0.7,9644.116666666669,52186.624894237226,20301.33333333333,795.9043620318959
886006.0,474.786614089,3.818106408314454E-4,886006.0,97.7,0.0,-Infinity,-Infinity,886006.0,3161912.0,20.0,20.0,20.0,0.0,100.0,100.0,800.0,0.755,0.8,0.7,12606.141666666672,59177.45096610117,20275.99999999999,752.6383844949207
924528.0,497.14348744,4.0004556727448696E-4,924528.0,90.8,0.0,-Infinity,-Infinity,924528.0,3152792.0,20.0,20.0,20.0,0.0,100.0,100.0,837.0,1.0,0.8,0.7,5563.050000000001,23622.70492977381,20200.0,604.8765413306268
963050.0,520.956428013,4.1946810516356757E-4,963050.0,97.6,0.0,-Infinity,-Infinity,963050.0,3152792.0,20.0,20.0,20.0,0.0,100.0,100.0,879.0,0.7350000000000001,0.8,0.7,8549.816666666666,32302.585004133954,20200.0,604.8765413306268
1001572.0,543.614037846,4.3781406845750986E-4,1001572.0,99.9,0.0,-Infinity,-Infinity,1001572.0,3129888.0,20.0,20.0,20.0,0.0,100.0,100.0,913.0,0.7350000000000001,0.8,0.7,11474.500000000005,41656.520261770886,20009.266666666674,1903.018741802786
1040094.0,565.391047875,4.5550753510964243E-4,1040094.0,99.2,0.0,-Infinity,-Infinity,1040094.0,3140632.0,20.0,20.0,20.0,0.0,100.0,100.0,952.0,0.759,0.8,0.7,5040.600000000003,28370.286331733372,20098.666666666664,274.83511736438373
1078616.0,588.616254733,4.7456029282393216E-4,1078616.0,99.7,0.0,-Infinity,-Infinity,1078616.0,3171032.0,20.0,20.0,20.0,0.0,100.0,100.0,988.0,0.762,0.8,0.7,2332.658333333333,7871.388604493818,20352.0,871.4882470268211
1117138.0,611.664928872,4.933413457952591E-4,1117138.0,100.0,?,?,?,1117138.0,3149752.0,20.0,20.0,20.0,0.0,100.0,100.0,1028.0,0.6004444444444444,0.8,0.7,2576.0500000000006,11282.576305149129,20174.666666666668,543.8223470013348
1155660.0,634.304760737,5.117536462632439E-4,1155660.0,95.0,0.0,-Infinity,-Infinity,1155660.0,3143672.0,20.0,20.0,20.0,0.0,100.0,100.0,1062.0,0.788,0.8,0.7,3732.7666666666687,13845.52474354402,20123.999999999993,389.3506768709051
1194182.0,656.814505133,5.300424476775923E-4,1194182.0,96.6,0.0,-Infinity,-Infinity,1194182.0,3140632.0,20.0,20.0,20.0,0.0,100.0,100.0,1095.0,0.6164444444444445,0.8,0.7,6564.616666666669,22950.175825174912,20098.666666666664,274.83511736438373
1232704.0,678.496718362,5.477953093136492E-4,1232704.0,91.10000000000001,0.0,-Infinity,-Infinity,1232704.0,3164952.0,20.0,20.0,20.0,0.0,100.0,100.0,1139.0,0.3262114107073076,0.8,0.7,8342.74166666666,30287.035737361824,20301.333333333332,794.6194410045651
1271226.0,700.622073431,5.659110045630269E-4,1271226.0,100.0,?,?,?,1271226.0,3164952.0,20.0,20.0,20.0,0.0,100.0,100.0,1172.0,0.555895493908704,0.8,0.7,11556.691666666668,40117.05089485978,20301.333333333332,794.6194410045651
