learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
180.0,0.623857238,7.405269093859941E-8,180.0,100.0,100.0,?,?,?,?,?,180.0,463432.0,10.0,0.0,1082.1000000000001,48.71789541157679,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
190.0,0.639012162,7.586961765386579E-8,190.0,100.0,100.0,?,?,?,?,?,190.0,463432.0,10.0,0.0,1140.8,47.720948113893215,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200.0,0.653216892,7.757262543009388E-8,200.0,100.0,100.0,?,?,?,?,?,200.0,463432.0,10.0,0.0,1204.9,49.88085805196218,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210.0,0.668277324,7.937822348154254E-8,210.0,100.0,100.0,?,?,?,?,?,210.0,463432.0,10.0,0.0,1260.4,56.12525674279313,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
220.0,0.682811072,8.112067728824915E-8,220.0,100.0,100.0,?,?,?,?,?,220.0,463432.0,10.0,0.0,1320.7,58.492259696856,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
230.0,0.697439635,8.287449848330477E-8,230.0,100.0,100.0,?,?,?,?,?,230.0,463432.0,10.0,0.0,1383.8,57.2592544679218,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
240.0,0.712323935,8.465898003583775E-8,240.0,100.0,100.0,?,?,?,?,?,240.0,463432.0,10.0,0.0,1448.3000000000002,52.02360575311516,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
250.0,0.726611705,8.637194349342959E-8,250.0,100.0,100.0,?,?,?,?,?,250.0,463432.0,10.0,0.0,1506.0,53.901144081859094,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
260.0,0.741012369,8.809844183411244E-8,260.0,100.0,100.0,?,?,?,?,?,260.0,463432.0,10.0,0.0,1565.3,56.17245271878774,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270.0,0.755101121,8.978754498590406E-8,270.0,100.0,100.0,?,?,?,?,?,270.0,463432.0,10.0,0.0,1624.9,56.5379911603202,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
280.0,0.769127966,9.146922609571369E-8,280.0,100.0,100.0,?,?,?,?,?,280.0,463432.0,10.0,0.0,1683.1,57.08366179954159,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
290.0,0.783920902,9.324275400094275E-8,290.0,100.0,100.0,?,?,?,?,?,290.0,463432.0,10.0,0.0,1742.6000000000001,58.292747786019184,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
300.0,0.799743701,9.513975237674391E-8,300.0,100.0,100.0,?,?,?,?,?,300.0,463432.0,10.0,0.0,1803.8999999999999,59.97860729738006,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
310.0,0.820697143,9.7651864515781E-8,310.0,100.0,100.0,?,?,?,?,?,310.0,463432.0,10.0,0.0,1865.8,62.62906673422492,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
320.0,0.841299005,1.0013077958548442E-7,320.0,100.0,100.0,?,?,?,?,?,320.0,465112.0,10.0,0.0,1924.6,63.26171389113992,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
330.0,0.862001436,1.0262179560070652E-7,330.0,100.0,100.0,?,?,?,?,?,330.0,465112.0,10.0,0.0,1984.3,63.25442452684415,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
340.0,0.882659249,1.0510744296368834E-7,340.0,100.0,100.0,?,?,?,?,?,340.0,465112.0,10.0,0.0,2044.0999999999997,66.37846036177699,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
350.0,0.901058761,1.0732136069461912E-7,350.0,100.0,100.0,?,?,?,?,?,350.0,465112.0,10.0,0.0,2102.9,69.91494833009605,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
360.0,0.915113201,1.0901245847559846E-7,360.0,100.0,100.0,?,?,?,?,?,360.0,465112.0,10.0,0.0,2160.9,68.06443026035454,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
370.0,0.929275414,1.1071652402200633E-7,370.0,100.0,100.0,?,?,?,?,?,370.0,465112.0,10.0,0.0,2220.7,70.47466053680417,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
380.0,0.943418103,1.1241824034688168E-7,380.0,100.0,100.0,?,?,?,?,?,380.0,465112.0,10.0,0.0,2284.4,70.22060476336938,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
390.0,0.957488253,1.1411122843057953E-7,390.0,100.0,100.0,?,?,?,?,?,390.0,465112.0,10.0,0.0,2342.6,71.70030218439341,12920.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
