learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
75000.0,2.66483988,3.8781783749453106E-7,75000.0,100.0,100.0,?,100.0,?,?,?,75000.0,543568.0,10.0,6.0,316865.80000000005,176091.41276482254,20176.0,7167.829363048327,3.0,2.1081851067789197,1.9999999999999996,1.0540925533894598,1.9999999999999996,1.0540925533894598,1.0,1.0540925533894598,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,2.889008583,4.341344424039126E-7,80000.0,100.0,100.0,?,100.0,?,?,?,80000.0,798664.0,10.0,8.0,287353.6,225195.7359844986,45435.2,12879.936066093911,7.6000000000000005,3.657564459825387,4.3,1.8287822299126937,4.3,1.8287822299126937,2.8,1.3165611772087664,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,3.051224173,4.7228961901675087E-7,85000.0,99.9,99.9,50.0,99.8998998998999,?,?,?,85000.0,909208.0,10.0,8.0,317321.2,225253.86509980244,56302.4,16940.283633989133,9.2,4.263540521418529,5.1,2.1317702607092643,5.1,2.1317702607092643,3.5999999999999996,1.6465452046971292,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,3.213855347,5.146966463709706E-7,90000.0,100.0,100.0,?,100.0,?,?,?,90000.0,1007944.0,10.0,8.0,347360.9,225323.15594790125,66027.2,25336.006932602635,10.0,4.346134936801766,5.500000000000001,2.173067468400883,5.500000000000001,2.173067468400883,3.9999999999999996,1.7638342073763937,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,3.370409478,5.564664408825318E-7,95000.0,100.0,100.0,?,100.0,?,?,?,95000.0,1031336.0,10.0,8.0,377341.89999999997,225350.0287495729,68325.6,28047.18920042514,10.999999999999998,5.249338582674541,5.999999999999999,2.6246692913372707,5.999999999999999,2.6246692913372707,4.5,2.173067468400883,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,3.532078432,6.011912188053525E-7,100000.0,100.0,100.0,?,100.0,?,?,?,100000.0,1069360.0,10.0,9.0,394825.8,244331.7043014362,72221.59999999999,33820.58808608876,11.6,6.32806798671162,6.3,3.16403399335581,6.3,3.16403399335581,4.8,2.6997942308422114,0.0,0.0,0.0,0.0,1.0,0.0
105000.0,3.685290396,6.436163726555039E-7,105000.0,100.0,100.0,?,100.0,?,?,?,105000.0,1070368.0,10.0,9.0,424872.8,244278.79643636697,72221.59999999999,33820.58808608876,11.6,6.32806798671162,6.3,3.16403399335581,6.3,3.16403399335581,4.8,2.6997942308422114,0.0,0.0,0.0,0.0,1.0,0.0
110000.0,3.838012878,6.846334672600508E-7,110000.0,99.5,99.5,-Infinity,99.5,?,?,?,110000.0,1038160.0,10.0,10.0,389456.30000000005,269843.71600450925,69447.2,40968.95916775149,10.0,6.815016100086957,5.5,3.4075080500434787,5.5,3.4075080500434787,4.1,2.960855732160327,0.0,0.0,0.0,0.0,1.0,0.0
115000.0,3.987718501,7.24957432143529E-7,115000.0,100.0,100.0,?,100.0,?,?,?,115000.0,1041184.0,10.0,10.0,419439.2,269774.57305099093,69447.2,40968.95916775149,10.0,6.815016100086957,5.5,3.4075080500434787,5.5,3.4075080500434787,4.1,2.960855732160327,0.0,0.0,0.0,0.0,1.0,0.0
120000.0,4.157164423,7.647894284356656E-7,120000.0,100.0,100.0,?,100.0,?,?,?,120000.0,908664.0,10.0,12.0,323293.4,290025.01451012807,56152.8,44683.48474623109,7.8,7.254117604658903,4.4,3.6270588023294517,4.4,3.6270588023294517,3.1,3.212821536005731,0.0,0.0,0.0,0.0,1.0,0.0
125000.0,4.312379248,7.984608016094153E-7,125000.0,99.2,99.2,-Infinity,99.2,?,?,?,125000.0,838552.0,10.0,13.0,322557.30000000005,310755.2873679259,49472.8,45675.231266944764,6.8,7.450577904505872,3.9,3.725288952252936,3.9,3.725288952252936,2.6,3.272783388968954,0.0,0.0,0.0,0.0,1.0,0.0
130000.0,4.492623838,8.427550053788309E-7,130000.0,99.9,99.9,-Infinity,99.9,?,?,?,130000.0,949920.0,10.0,13.0,352487.5,310626.96907679044,60235.200000000004,40330.361137871194,9.0,7.302967433402214,5.0,3.651483716701107,5.0,3.651483716701107,3.3,2.7100635498903793,0.0,0.0,0.0,0.0,1.0,0.0
135000.0,4.667913402,8.858620099102541E-7,135000.0,100.0,100.0,?,100.0,?,?,?,135000.0,950592.0,10.0,13.0,382419.5,310694.1248885755,60235.200000000004,40330.361137871194,9.0,7.302967433402214,5.0,3.651483716701107,5.0,3.651483716701107,3.3,2.7100635498903793,0.0,0.0,0.0,0.0,1.0,0.0
140000.0,4.833403808,9.200455540402897E-7,140000.0,100.0,100.0,?,100.0,?,?,?,140000.0,798448.0,10.0,16.0,267645.5,320547.7339677093,45584.8,44461.22520629008,6.8,6.762642481555071,3.9,3.3813212407775355,3.9,3.3813212407775355,2.5,2.5927248643506746,0.0,0.0,0.0,0.0,1.0,0.0
145000.0,5.002706533,9.593098945336521E-7,145000.0,100.0,100.0,?,100.0,?,?,?,145000.0,896472.0,10.0,16.0,297662.80000000005,320636.86127933994,55068.8,42077.25841512649,8.0,6.616477747093069,4.5,3.3082388735465345,4.5,3.3082388735465345,3.0,2.494438257849294,0.0,0.0,0.0,0.0,1.0,0.0
150000.0,5.155944633,9.969981516850389E-7,150000.0,100.0,100.0,?,100.0,?,?,?,150000.0,950696.0,10.0,16.0,327697.7,320665.8877523631,60315.99999999999,42347.068553928395,8.2,6.679986693266853,4.6,3.3399933466334266,4.6,3.3399933466334266,3.1,2.5144029554194813,0.0,0.0,0.0,0.0,1.0,0.0
155000.0,5.304353329,1.0336288680537108E-6,155000.0,100.0,100.0,?,100.0,?,?,?,155000.0,954088.0,10.0,16.0,357669.9,320712.8023711662,60654.4,42083.919175328185,8.4,6.801960501698511,4.7,3.4009802508492557,4.7,3.4009802508492557,3.2,2.573367875415838,0.0,0.0,0.0,0.0,1.0,0.0
160000.0,5.45251704,1.0707667079278228E-6,160000.0,100.0,100.0,?,100.0,?,?,?,160000.0,968896.0,10.0,16.0,387642.8,320705.3483238331,61965.600000000006,42948.196193398704,8.4,6.801960501698511,4.7,3.4009802508492557,4.7,3.4009802508492557,3.2,2.573367875415838,0.0,0.0,0.0,0.0,1.0,0.0
165000.0,5.605987942,1.1093987110390825E-6,165000.0,100.0,100.0,?,100.0,?,?,?,165000.0,973024.0,10.0,16.0,417578.2,320706.8101313445,62376.0,43284.47625239844,9.0,6.324555320336759,5.0,3.1622776601683795,5.0,3.1622776601683795,3.5,2.3213980461973533,0.0,0.0,0.0,0.0,1.0,0.0
170000.0,5.767735227,1.1500417551995959E-6,170000.0,100.0,100.0,?,100.0,?,?,?,170000.0,971296.0,10.0,16.0,447533.10000000003,320723.5036955768,62201.6,43137.73089174822,9.4,6.719788356455548,5.2,3.359894178227774,5.2,3.359894178227774,3.6,2.3190036174568114,0.0,0.0,0.0,0.0,1.0,0.0
175000.0,5.917555511,1.1876878425435205E-6,175000.0,100.0,100.0,?,100.0,?,?,?,175000.0,971296.0,10.0,16.0,477515.2,320713.9078468534,62201.6,43137.73089174822,9.4,6.719788356455548,5.2,3.359894178227774,5.2,3.359894178227774,3.6,2.3190036174568114,0.0,0.0,0.0,0.0,1.0,0.0
180000.0,6.066245628,1.2251145704911422E-6,180000.0,100.0,100.0,?,100.0,?,?,?,180000.0,972976.0,10.0,16.0,507565.7,320667.00816996716,62201.6,43137.73089174822,9.4,6.719788356455548,5.2,3.359894178227774,5.2,3.359894178227774,3.6,2.3190036174568114,0.0,0.0,0.0,0.0,1.0,0.0
185000.0,6.223546735,1.2647087671757054E-6,185000.0,100.0,100.0,?,100.0,?,?,?,185000.0,972976.0,10.0,16.0,537663.1,320701.5782407377,62201.6,43137.73089174822,9.4,6.719788356455548,5.2,3.359894178227774,5.2,3.359894178227774,3.6,2.3190036174568114,0.0,0.0,0.0,0.0,1.0,0.0
190000.0,6.385902052,1.3021716965600351E-6,190000.0,100.0,100.0,?,100.0,?,?,?,190000.0,891944.0,10.0,17.0,528549.7,365072.04873834306,54230.399999999994,44149.17094276328,8.2,7.067924416372572,4.6,3.533962208186286,4.6,3.533962208186286,3.1,2.5144029554194813,0.0,0.0,0.0,0.0,1.0,0.0
195000.0,6.536352641,1.3369138063870142E-6,195000.0,100.0,100.0,?,100.0,?,?,?,195000.0,892616.0,10.0,17.0,558514.7999999999,365063.5061601688,54230.399999999994,44149.17094276328,8.2,7.067924416372572,4.6,3.533962208186286,4.6,3.533962208186286,3.1,2.5144029554194813,0.0,0.0,0.0,0.0,1.0,0.0
200000.0,6.68330657,1.3708548529671526E-6,200000.0,100.0,100.0,?,100.0,?,?,?,200000.0,892784.0,10.0,17.0,588504.7,365066.2553741444,54230.399999999994,44149.17094276328,8.2,7.067924416372572,4.6,3.533962208186286,4.6,3.533962208186286,3.1,2.5144029554194813,0.0,0.0,0.0,0.0,1.0,0.0
205000.0,6.867758275,1.4080720554094679E-6,205000.0,99.9,99.9,83.33333333333334,99.89939637826963,?,?,?,205000.0,779944.0,10.0,21.0,350736.89999999997,406869.4778641344,43465.600000000006,36180.735215182,7.6000000000000005,5.581716183715861,4.3,2.7908580918579307,4.3,2.7908580918579307,3.0,1.885618083164127,0.0,0.0,0.0,0.0,1.0,0.0
210000.0,7.053591675,1.4442580913509264E-6,210000.0,100.0,100.0,?,100.0,?,?,?,210000.0,752696.0,10.0,23.0,178173.0,210320.5578671651,40703.2,9296.901428851324,5.200000000000001,1.475729574745244,3.1000000000000005,0.737864787372622,3.1000000000000005,0.737864787372622,2.1000000000000005,0.737864787372622,0.0,0.0,0.0,0.0,1.0,0.0
215000.0,7.193694599,1.4715941541378699E-6,215000.0,100.0,100.0,?,100.0,?,?,?,215000.0,754208.0,10.0,23.0,208134.7,210310.9123100315,40703.2,9296.901428851324,5.200000000000001,1.475729574745244,3.1000000000000005,0.737864787372622,3.1000000000000005,0.737864787372622,2.1000000000000005,0.737864787372622,0.0,0.0,0.0,0.0,1.0,0.0
220000.0,7.342606359,1.501720209144056E-6,220000.0,100.0,100.0,?,100.0,?,?,?,220000.0,782016.0,10.0,23.0,238104.50000000003,210220.95607307513,43444.8,5894.069576937295,5.800000000000001,1.3984117975602022,3.4000000000000004,0.6992058987801011,3.4000000000000004,0.6992058987801011,2.4000000000000004,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
225000.0,7.500019242,1.532277965765931E-6,225000.0,100.0,100.0,?,100.0,?,?,?,225000.0,750384.0,10.0,24.0,259098.99999999997,219327.37349906875,40248.0,10976.439900481799,6.6,2.4585451886114367,3.8,1.2292725943057183,3.8,1.2292725943057183,2.5999999999999996,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
230000.0,7.658026814,1.5658481778064498E-6,230000.0,100.0,100.0,?,100.0,?,?,?,230000.0,821256.0,10.0,24.0,289124.1,219272.35995975925,47288.8,9644.814251998612,7.799999999999999,2.529822128134703,4.399999999999999,1.2649110640673515,4.399999999999999,1.2649110640673515,2.6999999999999993,0.8232726023485645,0.0,0.0,0.0,0.0,1.0,0.0
